Datetime,Close,High,Low,Open,Volume,20_MA,20_STD,200_MA,50_MA,Divergence,MA50,MA200,20MA,20STD,Upper_BB,Lower_BB,Center_BB,Center_BB_Div,RSI,MACD,MACD_signal,MACD_hist,Slope,Turning_Points,Acceleration,Momentum,Change,UpperBreak,LowerBreak,MA50_rel,MA200_rel,DayOfWeek_sin,DayOfWeek_cos,Target
2023-02-23 16:00:00+00:00,3976.75,4008.75,3976.0,4003.75,276200,4010.1875,11.841851239965562,4009.8125,4009.8125,True,,,4010.1875,11.841851239965562,4033.871202479931,3986.503797520069,4010.1875,-70.59179203153315,34.12455928974765,,,,-27.0,0,-0.25,-42.75,-0.006743677802060533,0,1,,,0.43388373911755823,-0.900968867902419,-1
2023-02-23 17:00:00+00:00,3987.5,3988.25,3974.25,3976.75,163703,4009.225,12.873345575870665,4008.92,4008.92,False,,,4009.225,12.873345575870665,4034.971691151741,3983.4783088482586,4009.225,-42.189887376131075,40.267732212576135,,,,10.75,0,37.75,-32.0,0.002703212422204171,0,0,,,0.43388373911755823,-0.900968867902419,0
2023-02-23 18:00:00+00:00,3994.0,3996.25,3982.0,3987.75,151485,4008.7,13.283745508584571,4008.346153846154,4008.346153846154,False,,,4008.7,13.283745508584571,4035.267491017169,3982.1325089828306,4008.7,-27.665389988275425,43.68725483715365,-3.587261968551502,,,6.5,0,-4.25,-24.0,0.0016300940438871425,0,0,,,0.43388373911755823,-0.900968867902419,0
2023-02-23 19:00:00+00:00,4013.25,4018.25,3990.75,3994.0,210719,4008.5375,13.202939016908658,4008.527777777778,4008.527777777778,False,,,4008.5375,13.202939016908658,4034.943378033817,3982.1316219661826,4008.5375,8.923202617926425,52.381540071475804,-2.5521995060685185,,,19.25,0,12.75,-17.25,0.004819729594391697,0,0,,,0.43388373911755823,-0.900968867902419,0
2023-02-23 20:00:00+00:00,4018.75,4028.5,4013.5,4013.5,244803,4008.8,13.35807463277307,4008.8928571428573,4008.8928571428573,False,,,4008.8,13.35807463277307,4035.516149265546,3982.0838507344542,4008.8,18.621695628927483,54.54108806692719,-1.2734217989259378,,,5.5,0,-13.75,15.0,0.0013704603500903634,0,0,,,0.43388373911755823,-0.900968867902419,1
2023-02-24 08:00:00+00:00,4007.0,4012.75,4007.0,4010.25,20737,4008.6,13.353345727017688,4008.8275862068967,4008.8275862068967,True,,,4008.6,13.353345727017688,4035.3066914540354,3981.8933085459644,4008.6,-2.995503959660529,49.387986564334305,-1.194340440920314,,,-11.75,1,-17.25,30.25,-0.0029237947122862096,0,0,,,-0.433883739117558,-0.9009688679024191,0
2023-02-24 09:00:00+00:00,4005.75,4011.0,4005.25,4007.0,13728,4008.6375,13.34375346665794,4008.725,4008.725,True,,,4008.6375,13.34375346665794,4035.3250069333158,3981.949993066684,4008.6375,-5.409834660117958,48.859118483759836,-1.2184864944379115,,,-1.25,0,10.5,18.25,-0.0003119540803593335,0,0,,,-0.433883739117558,-0.9009688679024191,0
2023-02-24 10:00:00+00:00,4003.0,4008.0,4000.75,4005.75,14195,4008.375,13.403284161569792,4008.5403225806454,4008.5403225806454,True,,,4008.375,13.403284161569792,4035.18156832314,3981.56843167686,4008.375,-10.025527951222735,47.650196988747,-1.4428916760325592,,,-2.75,0,-1.5,9.0,-0.000686513137365008,0,0,,,-0.433883739117558,-0.9009688679024191,0
2023-02-24 11:00:00+00:00,3994.0,4003.0,3991.5,4003.0,27248,4007.325,13.676742648513997,4008.0859375,4008.0859375,True,,,4007.325,13.676742648513997,4034.6784852970277,3979.971514702972,4007.325,-24.35704235731829,43.82811690337076,-2.320213209463418,,,-9.0,0,-6.25,-19.25,-0.0022483137646764906,0,0,,,-0.433883739117558,-0.9009688679024191,0
2023-02-24 12:00:00+00:00,3991.75,3995.0,3990.75,3994.25,25045,4006.05,13.889744418094839,4007.590909090909,4007.590909090909,True,,,4006.05,13.889744418094839,4033.8294888361897,3978.2705111638106,4006.05,-25.738414562493578,42.90164193860312,-3.160619388539544,,,-2.25,0,6.75,-27.0,-0.0005633450175263066,0,0,,,-0.433883739117558,-0.9009688679024191,0
2023-02-24 13:00:00+00:00,3967.5,3992.0,3962.75,3991.5,129281,4004.9625,15.970011987933278,4006.4117647058824,4006.4117647058824,True,,,4004.9625,15.970011987933278,4036.9025239758666,3973.0224760241335,4004.9625,-58.64507182008731,34.44932924537086,-5.717511758031378,-3.0476852327024404,-2.6698265253289377,-24.25,0,-22.0,-39.5,-0.006075029748856986,0,1,,,-0.433883739117558,-0.9009688679024191,0
2023-02-24 14:00:00+00:00,3956.0,3976.0,3952.75,3967.5,282535,4002.7625,19.360410466233553,4004.9714285714285,4004.9714285714285,True,,,4002.7625,19.360410466233553,4041.483320932467,3964.0416790675326,4002.7625,-60.384179459363864,31.300008606853666,-8.572997098710402,-4.152747605904033,-4.420249492806369,-11.5,0,12.75,-49.75,-0.0028985507246376274,0,1,,,-0.433883739117558,-0.9009688679024191,0
2023-02-24 15:00:00+00:00,3952.25,3965.5,3947.5,3955.75,324772,3999.4625,22.02335408151968,4003.5069444444443,4003.5069444444443,True,,,3999.4625,22.02335408151968,4043.5092081630396,3955.4157918369606,3999.4625,-53.59367586022814,30.326420256214192,-11.011648039712782,-5.524527692665783,-5.487120347046998,-3.75,0,7.75,-50.75,-0.0009479271991911231,0,1,,,-0.433883739117558,-0.9009688679024191,-1
2023-02-24 16:00:00+00:00,3970.0,3978.5,3951.0,3952.25,247156,3997.2,22.63201039980384,4002.6013513513512,4002.6013513513512,False,,,3997.2,22.63201039980384,4042.4640207996076,3951.935979200392,3997.2,-30.04593882679938,39.86170745240585,-11.38082871383449,-6.695787896899525,-4.685040816934965,17.75,0,21.5,-24.0,0.0044911126573470295,0,0,,,-0.433883739117558,-0.9009688679024191,0
2023-02-24 17:00:00+00:00,3957.5,3972.5,3956.75,3970.25,145265,3994.3125,23.858667601876395,4001.4144736842104,4001.4144736842104,False,,,3994.3125,23.858667601876395,4042.029835203753,3946.595164796247,3994.3125,-38.57350776485174,36.11343781005988,-12.5375277751682,-7.864135872553261,-4.67339190261494,-12.5,1,-30.25,-34.25,-0.0031486146095718315,0,0,,,-0.433883739117558,-0.9009688679024191,0
2023-02-24 18:00:00+00:00,3967.0,3970.25,3954.0,3957.75,129327,3991.6875,23.829696615556312,4000.5320512820513,4000.5320512820513,False,,,3991.6875,23.829696615556312,4039.3468932311125,3944.0281067688875,3991.6875,-25.899931079990925,40.678877050578365,-12.543060911254088,-8.799920880293428,-3.74314003096066,9.5,0,22.0,-0.5,0.0024005053695514977,0,0,,,-0.433883739117558,-0.9009688679024191,0
2023-02-24 19:00:00+00:00,3979.5,3982.25,3962.5,3967.25,162903,3989.6875,23.037994218932322,4000.00625,4000.00625,False,,,3989.6875,23.037994218932322,4035.7634884378645,3943.6115115621355,3989.6875,-11.055107383901598,46.133479039560655,-11.407304127148109,-9.321397529664365,-2.085906597483744,12.5,0,3.0,23.5,0.0031509957146458323,0,0,,,-0.433883739117558,-0.9009688679024191,1
2023-02-24 20:00:00+00:00,3975.75,3984.0,3962.0,3979.5,337614,3987.575,22.22804949181336,3999.4146341463415,3999.4146341463415,False,,,3987.575,22.22804949181336,4032.0310989836266,3943.118901016373,3987.575,-13.299637474213569,44.80252775861205,-10.686613722196853,-9.594440768170863,-1.0921729540259904,-3.75,1,-16.25,23.5,-0.0009423294383716918,0,0,,,-0.433883739117558,-0.9009688679024191,0
2023-02-24 21:00:00+00:00,3974.5,3975.75,3972.5,3975.5,55095,3984.775,19.946293020587373,3998.8214285714284,3998.8214285714284,True,,,3984.775,19.946293020587373,4024.6675860411747,3944.8824139588255,3984.775,-12.878332817775828,44.34329031034398,-10.09990057048617,-9.695532728633925,-0.4043678418522454,-1.25,0,2.5,4.5,-0.0003144060869018084,0,0,,,-0.433883739117558,-0.9009688679024191,-1
2023-02-27 08:00:00+00:00,3990.25,3994.5,3983.75,3983.75,29176,3984.1,19.493656188076198,3998.6220930232557,3998.6220930232557,False,,,3984.1,19.493656188076198,4023.087312376152,3945.1126876238477,3984.1,7.88718127151787,51.13924094509557,-8.268716185863468,-9.410169420079834,1.1414532342163657,15.75,0,17.0,32.75,0.003962762611649184,0,0,,,0.0,1.0,0
2023-02-27 09:00:00+00:00,3993.0,3996.75,3989.5,3990.5,16140,3984.9125,19.509827988935985,3998.494318181818,3998.494318181818,False,,,3984.9125,19.509827988935985,4023.932155977872,3945.892844022128,3984.9125,10.363366612697094,52.23589870776171,-6.520423962175755,-8.83222032849902,2.3117963663232644,2.75,0,-13.0,26.0,0.000689179875947632,0,0,,,0.0,1.0,1
2023-02-27 10:00:00+00:00,3992.75,3997.5,3992.75,3993.0,14100,3985.175,19.58166099615649,3998.366666666667,3998.366666666667,False,,,3985.175,19.58166099615649,4024.338321992313,3946.0116780076874,3985.175,9.671038633401267,52.12136885067239,-5.09631553663985,-8.085039370127186,2.9887238334873363,-0.25,1,-3.0,13.25,-6.260956674175588e-05,0,0,,,0.0,1.0,0
2023-02-27 11:00:00+00:00,3994.25,3996.25,3992.25,3993.0,13123,3985.1875,19.587669825951775,3998.2771739130435,3998.2771739130435,False,,,3985.1875,19.587669825951775,4024.3628396519034,3946.0121603480966,3985.1875,11.56658765504753,52.79020189951368,-3.802825282597496,-7.228596552621248,3.425771270023752,1.5,0,1.75,18.5,0.00037568092167061806,0,0,,,0.0,1.0,0
2023-02-27 12:00:00+00:00,3993.0,3997.25,3991.25,3994.25,17540,3984.175,18.557006762944678,3998.1648936170213,3998.1648936170213,True,,,3984.175,18.557006762944678,4021.2890135258895,3947.060986474111,3984.175,11.889040232530828,52.13658686535749,-2.8457850518511805,-6.352034252467234,3.506249200616054,-1.25,1,-2.75,18.5,-0.00031294986543151104,0,0,,,0.0,1.0,-1
2023-02-27 13:00:00+00:00,4010.5,4014.5,3992.25,3992.75,60479,3983.7625,17.82526204871158,3998.421875,3998.421875,False,,,3983.7625,17.82526204871158,4019.4130240974227,3948.111975902577,3983.7625,37.49944871348042,59.66587721728213,-0.6675252123563951,-5.215132444445067,4.547607232088672,17.5,0,18.75,20.25,0.0043826696719257985,0,0,,,0.0,1.0,0
2023-02-27 14:00:00+00:00,4014.25,4015.0,4002.0,4010.5,189984,3984.125,18.3875494203057,3998.7448979591836,3998.7448979591836,False,,,3984.125,18.3875494203057,4020.9000988406115,3947.3499011593885,3984.125,40.958421526704875,61.078787682523746,1.3458410460784762,-3.902937746340359,5.248778792418835,3.75,0,-13.75,21.25,0.0009350455055479046,0,0,,,0.0,1.0,1
2023-02-27 15:00:00+00:00,4003.25,4024.75,3997.0,4014.5,340499,3984.0,18.24071501368574,3998.835,3998.835,False,3998.835,,3984.0,18.24071501368574,4020.4814300273715,3947.5185699726285,3984.0,26.383285942405475,54.99326820341479,2.0304346554380572,-2.7162632659846757,4.746697921422733,-11.0,1,-14.75,10.5,-0.0027402379024724643,0,0,4.414999999999964,,0.0,1.0,0
2023-02-27 16:00:00+00:00,3993.75,4007.0,3987.25,4003.5,193391,3983.5375,17.846618985412906,3998.735294117647,3998.49,True,3998.49,,3983.5375,17.846618985412906,4019.230737970826,3947.844262029174,3983.5375,14.305931011845049,50.329416355850306,1.7858235555863757,-1.8158459016704656,3.6016694572568415,-9.5,0,1.5,-0.5,-0.0023730718790981875,0,0,-4.739999999999782,,0.0,1.0,-1
2023-02-27 17:00:00+00:00,3998.25,3999.5,3986.5,3993.75,120786,3983.75,18.00237557423364,3998.7259615384614,3998.33,False,3998.33,,3983.75,18.00237557423364,4019.754751148467,3947.745248851533,3983.75,20.13623138264252,52.389166729037164,1.932799775866897,-1.0661167661629931,2.99891654202989,4.5,0,14.0,5.25,0.0011267605633802358,0,0,-0.07999999999992724,,0.0,1.0,0
2023-02-27 18:00:00+00:00,4001.25,4003.25,3992.25,3998.5,96974,3984.225,18.346608032978864,3998.7735849056603,3998.24,False,3998.24,,3984.225,18.346608032978864,4020.9182160659575,3947.5317839340423,3984.225,23.199111205456813,53.765657910617314,2.2652421162479186,-0.39984498968081084,2.6650871059287295,3.0,0,-1.5,-9.25,0.0007503282686174284,0,0,3.0100000000002183,,0.0,1.0,1
2023-02-27 19:00:00+00:00,3990.25,4006.5,3988.5,4001.25,129487,3985.3625,17.956173802666186,3998.615740740741,3997.87,False,3997.87,,3985.3625,17.956173802666186,4021.2748476053325,3949.450152394668,3985.3625,6.804762603815563,48.256564171763884,1.6223950368744227,0.004603015630235852,1.6177920212441868,-11.0,1,-14.0,-24.0,-0.0027491408934707806,0,0,-7.619999999999891,,0.0,1.0,0
2023-02-27 20:00:00+00:00,3988.0,3993.0,3978.5,3990.25,251270,3986.9625,16.574646737522443,3998.422727272727,3997.495,True,3997.495,,3986.9625,16.574646737522443,4020.111793475045,3953.813206524955,3986.9625,1.5648900643703727,47.19140953276961,0.9207639058904533,0.18783519368227936,0.732928712208174,-2.25,0,8.75,-15.25,-0.0005638744439571131,0,0,-9.49499999999989,,0.0,1.0,0
2023-02-28 08:00:00+00:00,3980.25,3982.75,3972.25,3977.25,32209,3988.3625,14.546765556572238,3998.098214285714,3997.01,True,3997.01,,3988.3625,14.546765556572238,4017.4560311131445,3959.268968886856,3988.3625,-13.942102745195815,43.61995331809256,-0.2576737483668694,0.09873340527244961,-0.356407153639319,-7.75,0,-5.5,-13.5,-0.001943329989969933,0,0,-16.76000000000022,,0.7818314824680298,0.6234898018587336,-1
2023-02-28 09:00:00+00:00,3982.5,3985.0,3977.75,3980.25,15580,3988.9875,13.973535842704651,3997.8245614035086,3996.33,False,3996.33,,3988.9875,13.973535842704651,4016.9345716854095,3961.040428314591,3988.9875,-11.606761654723176,44.923170543479955,-0.9985274803534594,-0.12071877185273218,-0.8778087085007272,2.25,0,10.0,-15.75,0.0005652911249294235,0,0,-13.829999999999927,,0.7818314824680298,0.6234898018587336,0
2023-02-28 10:00:00+00:00,3992.25,3992.75,3982.5,3982.75,16605,3990.725,11.851576621742781,3997.728448275862,3995.905,False,3995.905,,3990.725,11.851576621742781,4014.4281532434857,3967.021846756514,3990.725,3.2168715789305384,50.28580922015193,-0.7898114301392525,-0.25453730351003623,-0.5352741266292163,9.75,0,7.5,-9.0,0.0024482109227872417,0,0,-3.6550000000002,,0.7818314824680298,0.6234898018587336,0
2023-02-28 11:00:00+00:00,3997.5,4000.0,3990.5,3992.5,23111,3992.25,10.526282894684993,3997.7245762711864,3995.635,False,3995.635,,3992.25,10.526282894684993,4013.30256578937,3971.19743421063,3992.25,12.468788965026945,52.94271319609214,-0.19848334031166814,-0.2433265108703626,0.04484317055869447,5.25,0,-4.5,7.25,0.0013150479053165576,0,0,1.8649999999997817,,0.7818314824680298,0.6234898018587336,0
2023-02-28 12:00:00+00:00,4001.5,4003.75,3996.25,3997.25,22344,3993.35,10.270166298043401,3997.7875,3995.565,False,3995.565,,3993.35,10.270166298043401,4013.890332596087,3972.809667403913,3993.35,19.839016631971944,54.91954249980899,0.5861581356539318,-0.07742958156550374,0.6635877172194355,4.0,0,-1.25,13.5,0.001000625390869203,0,0,5.934999999999945,,0.7818314824680298,0.6234898018587336,1
2023-02-28 13:00:00+00:00,3995.25,4002.75,3989.0,4001.25,52468,3994.325,9.40013297778253,3997.745901639344,3995.305,True,3995.305,,3994.325,9.40013297778253,4013.125265955565,3975.524734044435,3994.325,2.460071581397963,51.29368371416357,0.6956503674146006,0.07718640823051715,0.6184639591840835,-6.25,1,-10.25,15.0,-0.00156191428214425,0,0,-0.05499999999983629,,0.7818314824680298,0.6234898018587336,0
2023-02-28 14:00:00+00:00,3984.0,3996.0,3975.0,3995.5,200293,3994.8,8.546929273136366,3997.5241935483873,3994.685,True,3994.685,,3994.8,8.546929273136366,4011.893858546273,3977.7061414537275,3994.8,-31.590293001327964,45.473941329372515,-0.12392865747278847,0.03696339508985602,-0.1608920525626445,-11.25,0,-5.0,1.5,-0.002815843814529706,0,0,-10.684999999999945,,0.7818314824680298,0.6234898018587336,0
2023-02-28 15:00:00+00:00,3983.75,3993.5,3976.0,3983.75,288804,3994.475,8.84735315756819,3997.3055555555557,3994.015,False,3994.015,,3994.475,8.84735315756819,4012.1697063151364,3976.7802936848634,3994.475,-30.30567393714094,45.350801935416364,-0.7845797036670774,-0.12734522466153067,-0.6572344790055468,-0.25,0,11.0,-8.5,-6.275100401609279e-05,0,0,-10.264999999999873,,0.7818314824680298,0.6234898018587336,-1
2023-02-28 16:00:00+00:00,3984.5,3994.75,3981.75,3983.75,181103,3994.05,9.121836149418407,3997.10546875,3993.92,False,3993.92,,3994.05,9.121836149418407,4012.293672298837,3975.8063277011634,3994.05,-26.173458510897134,45.824761384132906,-1.233413660615497,-0.34855891185232396,-0.884854748763173,0.75,0,1.0,-13.0,0.00018826482585510007,0,0,-9.420000000000073,,0.7818314824680298,0.6234898018587336,0
2023-02-28 17:00:00+00:00,3999.0,4001.0,3984.25,3984.5,134174,3994.3625,9.18181662738601,3997.1346153846152,3993.9,False,3993.9,,3994.3625,9.18181662738601,4012.7261332547723,3975.998866745228,3994.3625,12.626858573301869,54.11099956187464,-0.41431304385832846,-0.36170973825352487,-0.052603305604803585,14.5,0,13.75,-2.5,0.0036391015183836473,0,0,5.099999999999909,,0.7818314824680298,0.6234898018587336,0
